timestamp,ghi_26h,dni_26h,ghi_clear_26h,dni_clear_26h,ghi_kt_26h,dni_kt_26h,elevation_26h,ghi_27h,dni_27h,ghi_clear_27h,dni_clear_27h,ghi_kt_27h,dni_kt_27h,elevation_27h,ghi_28h,dni_28h,ghi_clear_28h,dni_clear_28h,ghi_kt_28h,dni_kt_28h,elevation_28h,ghi_29h,dni_29h,ghi_clear_29h,dni_clear_29h,ghi_kt_29h,dni_kt_29h,elevation_29h,ghi_30h,dni_30h,ghi_clear_30h,dni_clear_30h,ghi_kt_30h,dni_kt_30h,elevation_30h,ghi_31h,dni_31h,ghi_clear_31h,dni_clear_31h,ghi_kt_31h,dni_kt_31h,elevation_31h,ghi_32h,dni_32h,ghi_clear_32h,dni_clear_32h,ghi_kt_32h,dni_kt_32h,elevation_32h,ghi_33h,dni_33h,ghi_clear_33h,dni_clear_33h,ghi_kt_33h,dni_kt_33h,elevation_33h,ghi_34h,dni_34h,ghi_clear_34h,dni_clear_34h,ghi_kt_34h,dni_kt_34h,elevation_34h,ghi_35h,dni_35h,ghi_clear_35h,dni_clear_35h,ghi_kt_35h,dni_kt_35h,elevation_35h,ghi_36h,dni_36h,ghi_clear_36h,dni_clear_36h,ghi_kt_36h,dni_kt_36h,elevation_36h,ghi_37h,dni_37h,ghi_clear_37h,dni_clear_37h,ghi_kt_37h,dni_kt_37h,elevation_37h,ghi_38h,dni_38h,ghi_clear_38h,dni_clear_38h,ghi_kt_38h,dni_kt_38h,elevation_38h,ghi_39h,dni_39h,ghi_clear_39h,dni_clear_39h,ghi_kt_39h,dni_kt_39h,elevation_39h,ghi_40h,dni_40h,ghi_clear_40h,dni_clear_40h,ghi_kt_40h,dni_kt_40h,elevation_40h
2014-01-02 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.277969,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.094436,13.985500,97.035833,7.734554,47.969549,1.200000,1.200000,0.443982,146.412833,640.958333,114.752341,420.238747,1.195506,1.200000,10.001524,292.140000,784.570000,264.868552,656.678189,1.106681,1.180534,18.131040,404.176667,843.783333,381.354895,755.760073,1.060216,1.116716,24.265114,468.335000,865.416667,447.075762,796.129862,1.047608,1.087085,27.792219,476.818333,857.683333,455.648358,800.811030,1.046486,1.071009,28.258158,430.788333,829.250000,406.311789,772.099940,1.060569,1.074085,25.596034,332.916667,760.575000,303.648723,694.698782,1.098439,1.095242,20.165766,199.715000,621.516667,160.183577,512.997619,1.186135,1.176411,12.558516,41.617167,130.542167,25.438161,132.105043,1.178228,1.126389,3.368092,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.921297,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.944421,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-29.419632
2014-01-03 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.306546,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.113805,14.946667,114.666833,7.729413,47.932396,1.200000,1.200000,0.437903,151.996167,669.870000,114.960025,420.651542,1.199634,1.200000,10.013149,298.171667,782.745000,265.515625,657.330826,1.126437,1.179385,18.165029,414.458333,850.616667,382.487099,756.510427,1.084109,1.124700,24.325481,482.611667,880.016667,448.697171,797.007978,1.075560,1.104166,27.880497,494.448333,878.733333,457.726726,801.911888,1.080257,1.095796,28.371637,450.080000,863.166667,408.775980,773.623159,1.101512,1.115926,25.728177,349.171667,799.188333,306.375464,697.126674,1.141942,1.147099,20.308982,213.445000,671.055000,162.898828,517.730939,1.199524,1.199334,12.706728,48.373833,147.106667,26.731068,137.626488,1.193324,1.138689,3.517503,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.772611,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.797112,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-29.273474
2014-01-04 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.329561,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.127377,13.258500,55.017333,7.749641,48.030050,1.200000,1.200000,0.437962,143.498667,530.233333,115.279329,421.318246,1.194686,1.195288,10.031320,293.388333,718.075000,266.292512,658.112613,1.105425,1.093181,18.205979,408.116667,787.003333,383.751772,757.341093,1.063850,1.039388,24.393139,472.981667,807.683333,450.448510,797.946174,1.050066,1.012249,27.976168,483.683333,803.626667,459.929129,803.065184,1.051678,1.000701,28.492261,435.181667,771.415000,411.355748,775.199251,1.058180,0.995145,25.866865,337.088333,709.003333,309.207371,699.616035,1.091902,1.013737,20.457929,204.971667,587.048333,165.708235,522.549285,1.186359,1.124230,12.859818,49.382000,135.785333,28.099705,143.404164,1.196097,1.128022,3.671019,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.620454,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.646804,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-29.124605
2014-01-05 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.346937,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.135091,10.396667,0.565667,7.795479,48.263524,1.187518,1.140000,0.444203,89.412500,37.536333,115.710849,422.238847,0.792111,0.076495,10.056061,194.316667,122.324000,267.199318,659.022395,0.734800,0.186878,18.253899,273.866667,86.617167,385.148471,758.250679,0.723427,0.116305,24.468075,313.610000,139.588500,452.328803,798.942843,0.688145,0.174133,28.079197,215.978333,11.209167,462.254113,804.268930,0.467419,0.013901,28.619976,261.283333,39.640667,414.049267,776.825482,0.630095,0.050781,26.012024,295.440000,285.265000,312.142428,702.162492,0.902221,0.415530,20.612515,132.232667,162.441000,168.610075,527.443999,0.742713,0.273150,13.017682,22.400500,0.036167,29.546388,149.439846,1.021694,0.740000,3.828529,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.464939,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.493609,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.973134
2014-01-06 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.358603,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.136891,8.547667,0.000000,7.867291,48.634244,1.186112,1.140000,0.456663,87.046500,4.079667,116.255118,423.412622,0.766449,0.009056,10.087393,77.987667,19.975000,268.236007,660.058656,0.301156,0.027843,18.308788,358.113333,601.091667,386.676616,759.237605,0.920007,0.790047,24.550270,472.843333,651.502667,454.336960,799.996261,1.029729,0.813424,28.189548,492.645000,671.279500,464.700137,805.521063,1.046611,0.833709,28.754723,438.235000,745.321667,416.854651,778.499085,1.050841,0.957404,26.163577,344.241667,635.611667,315.178589,704.761700,1.091662,0.901489,20.772648,190.331667,444.028500,171.602590,532.406613,1.105673,0.858455,13.180213,53.849667,101.710833,31.073435,155.714107,1.190761,1.034997,3.989923,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.306177,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.337635,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.819164
2014-01-07 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.364498,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.132733,9.827000,0.109167,7.965570,49.144059,1.197598,1.140417,0.475373,118.910667,186.890667,116.912610,424.838157,1.015813,0.417722,10.125328,283.923333,386.764333,269.402416,661.219543,1.029535,0.578035,18.370639,277.803333,78.506000,388.335503,760.300115,0.710870,0.102629,24.639698,310.795000,71.927000,456.471781,801.104601,0.679727,0.089384,28.307176,266.756667,63.444833,467.265581,806.819463,0.569851,0.078383,28.896443,272.545000,80.434667,419.769964,780.217270,0.658056,0.105237,26.321445,249.195000,200.180167,318.313782,707.409367,0.781395,0.283020,20.938232,206.253333,409.765000,174.683994,537.428870,1.130128,0.774361,13.347310,67.788333,121.249833,32.683085,162.269894,1.200000,1.070656,4.155093,0.030000,0.000000,0.000000,0.000000,1.200000,1.200000,-6.144276,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.178986,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.662793
2014-01-08 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.364566,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.122575,7.026167,0.467000,8.090938,49.795244,1.179499,1.142245,0.500354,101.826500,297.062667,117.683752,426.513370,0.795580,0.624223,10.169869,267.085000,516.175000,270.698262,662.502880,0.975459,0.780785,18.439440,248.955000,125.843167,390.124311,761.436289,0.637631,0.168551,24.736332,182.928333,4.805667,458.731972,802.265942,0.400324,0.006082,28.432037,335.355000,225.434667,469.948750,808.161958,0.715913,0.280363,29.045073,438.053333,802.705000,422.793228,781.977241,1.035827,1.026499,26.485549,344.338333,732.051667,321.545917,710.101263,1.070303,1.030037,21.109175,164.494000,274.786167,177.852476,542.502756,0.907309,0.470847,13.518869,28.238333,0.278000,34.377558,169.086469,0.969750,0.680000,4.323934,0.036500,0.000000,0.000000,0.000000,1.200000,1.200000,-5.979339,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-17.017762,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.504116
2014-01-09 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.358757,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.106387,15.673000,45.742833,8.244256,50.612953,1.200000,1.198441,0.531623,110.816667,182.602833,118.568928,428.435545,0.954884,0.474423,10.221018,282.195000,601.036667,272.123154,663.906197,1.030424,0.900630,18.515174,379.815000,623.490000,392.042116,762.644066,0.970878,0.817997,24.840136,464.706667,742.373333,461.116152,803.478287,1.008087,0.924095,28.564082,450.096667,627.513333,472.747890,809.546337,0.951766,0.774940,29.200547,401.738333,552.321667,425.922425,783.776201,0.940504,0.703300,26.655808,298.683333,433.151667,324.872883,712.833229,0.915898,0.604371,21.285382,197.201667,271.271667,181.106201,547.620503,1.065608,0.500134,13.694789,66.800833,114.446333,36.159040,176.163994,1.200000,0.998268,4.496342,0.101667,0.000000,0.000000,0.000000,1.200000,1.200000,-5.811468,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-16.854059,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.343220
2014-01-10 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.347029,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.084139,7.745333,0.000000,8.426363,51.557244,1.172682,1.120000,0.569192,52.495000,0.000000,119.568489,430.601358,0.483189,0.000000,10.278768,83.763833,0.000000,273.676605,665.426753,0.308519,0.000000,18.597819,60.610667,0.000000,394.087902,763.921253,0.154980,0.000000,24.951075,79.170667,0.000000,463.622861,804.739567,0.172033,0.000000,28.703258,80.395333,0.000000,475.661183,810.970358,0.168887,0.000000,29.362798,81.369333,0.000000,429.155497,785.611362,0.190090,0.000000,26.832140,96.987333,0.000000,328.292551,715.601187,0.295871,0.000000,21.466761,44.878167,0.000000,184.443303,552.774595,0.246224,0.000000,13.874970,22.948000,0.015167,38.028987,183.472873,0.868339,0.640000,4.672215,0.077000,0.000000,0.000678,0.029322,1.200000,1.200000,-5.640762,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-16.687969,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.180191
2014-01-11 12:00:00,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-21.329344,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-10.055809,10.627833,6.175833,8.638296,52.652780,1.195889,1.144952,0.613065,139.625167,486.766000,120.682757,433.006911,1.093639,0.973272,10.343109,314.023333,821.266667,275.358041,667.061556,1.144237,1.195745,18.687349,436.410000,870.250000,396.260559,765.265536,1.100059,1.137500,25.069107,471.721667,781.158333,466.250560,806.047652,1.009600,0.968302,28.849511,512.438333,896.183333,478.686753,812.431751,1.070512,1.103081,29.531760,466.831667,870.983333,432.490343,787.479944,1.079680,1.106082,27.014463,369.163333,811.850000,331.802762,718.401133,1.114246,1.130608,21.653217,229.295000,685.858333,187.861879,557.957765,1.184589,1.183556,14.059312,72.073500,252.206833,39.988938,191.028822,1.188521,1.146604,4.851453,0.248000,0.000000,0.002559,0.071513,1.200000,1.200000,-5.467317,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-16.519583,0.000000,0.000000,0.000000,0.000000,1.200000,1.200000,-28.015109
