timestamp,nam_ghi_26h,nam_ghi_27h,nam_ghi_28h,nam_ghi_29h,nam_ghi_30h,nam_ghi_31h,nam_ghi_32h,nam_ghi_33h,nam_ghi_34h,nam_ghi_35h,nam_ghi_36h,nam_ghi_37h,nam_ghi_38h,nam_ghi_39h,nam_ghi_40h,nam_dni_26h,nam_dni_27h,nam_dni_28h,nam_dni_29h,nam_dni_30h,nam_dni_31h,nam_dni_32h,nam_dni_33h,nam_dni_34h,nam_dni_35h,nam_dni_36h,nam_dni_37h,nam_dni_38h,nam_dni_39h,nam_dni_40h,nam_cc_26h,nam_cc_27h,nam_cc_28h,nam_cc_29h,nam_cc_30h,nam_cc_31h,nam_cc_32h,nam_cc_33h,nam_cc_34h,nam_cc_35h,nam_cc_36h,nam_cc_37h,nam_cc_38h,nam_cc_39h,nam_cc_40h
2014-01-02 12:00:00,0.000000,0.000000,99.625000,274.750000,416.375000,510.875000,547.375000,527.500000,454.625000,329.125000,160.625000,107.083333,53.541667,0.000000,0.000000,0.000000,0.000000,497.069277,760.162689,871.248807,919.980698,935.728503,927.553708,891.117397,804.840599,605.316193,403.544129,201.772064,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,2.000000,8.000000,20.000000,18.000000,12.000000,8.000000,20.000000,21.333333,22.666667,24.000000,24.666667
2014-01-03 12:00:00,0.000000,0.000000,96.000000,270.250000,411.875000,508.875000,547.625000,527.125000,450.375000,318.750000,144.000000,96.000000,48.000000,0.000000,0.000000,0.000000,0.000000,500.793323,760.361498,871.283377,920.188853,936.205668,928.134852,891.957864,806.347890,623.241851,415.494568,207.747284,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2014-01-04 12:00:00,0.000000,0.000000,107.250000,281.625000,428.125000,525.000000,563.875000,541.875000,462.500000,328.000000,150.125000,100.083333,50.041667,0.000000,0.000000,0.000000,0.000000,497.792706,761.627820,872.847749,921.807905,938.198257,930.250593,894.105446,809.204436,621.986668,414.657779,207.328889,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.333333
2014-01-05 12:00:00,0.000000,0.000000,91.875000,277.125000,418.625000,509.375000,524.875000,537.750000,310.500000,308.000000,147.750000,98.500000,49.250000,0.000000,0.000000,0.000000,0.000000,513.692123,761.886781,873.000037,921.143477,927.436687,930.855999,416.301593,811.235843,636.218130,424.145420,212.072710,0.000000,0.000000,100.000000,100.000000,100.000000,90.000000,90.000000,84.000000,98.000000,74.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
2014-01-06 12:00:00,0.000000,0.000000,105.000000,286.000000,429.500000,518.250000,557.250000,543.000000,469.125000,344.000000,160.750000,107.166667,53.583333,0.000000,0.000000,0.000000,0.000000,498.720513,763.296459,874.258825,922.806138,939.072686,932.135458,897.150043,814.828376,626.857462,417.904975,208.952487,0.000000,0.000000,30.000000,34.000000,66.000000,28.000000,6.000000,0.000000,0.000000,34.000000,40.000000,20.000000,2.000000,1.333333,0.666667,0.000000,0.666667
2014-01-07 12:00:00,0.000000,0.000000,100.125000,279.750000,418.750000,508.250000,520.750000,519.625000,464.125000,341.375000,174.750000,116.500000,58.250000,0.000000,0.000000,0.000000,0.000000,500.657553,763.688678,874.323333,921.735085,921.440457,927.157824,898.180724,817.107177,629.918927,419.945951,209.972975,0.000000,0.000000,96.000000,100.000000,92.000000,34.000000,36.000000,52.000000,100.000000,100.000000,26.000000,24.000000,28.000000,30.000000,32.000000,34.000000,26.666667
2014-01-08 12:00:00,0.000000,0.000000,104.375000,282.250000,423.250000,518.125000,558.750000,534.250000,471.375000,347.375000,154.625000,103.083333,51.541667,0.000000,0.000000,0.000000,0.000000,501.115020,764.854587,875.470631,923.963152,940.325447,932.135701,900.096492,819.879267,654.128097,436.085398,218.042699,0.000000,0.000000,100.000000,100.000000,20.000000,28.000000,8.000000,6.000000,6.000000,0.000000,2.000000,8.000000,0.000000,8.666667,17.333333,26.000000,21.333333
2014-01-09 12:00:00,0.000000,0.000000,106.125000,285.375000,427.500000,518.625000,560.250000,538.125000,467.000000,346.500000,180.500000,120.333333,60.166667,0.000000,0.000000,0.000000,0.000000,502.907399,766.178398,876.609985,924.591733,941.045054,933.457057,900.963968,822.242527,640.095143,426.730096,213.365048,0.000000,0.000000,12.000000,6.000000,10.000000,16.000000,10.000000,50.000000,18.000000,64.000000,72.000000,52.000000,44.000000,34.666667,25.333333,16.000000,20.666667
2014-01-10 12:00:00,0.000000,0.000000,95.500000,142.250000,119.875000,106.625000,41.750000,114.750000,57.625000,50.250000,64.000000,42.666667,21.333333,0.000000,0.000000,0.000000,0.000000,518.119475,169.782128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.000601,15.333734,7.666867,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,70.000000,40.000000,10.000000,6.666667
2014-01-11 12:00:00,0.000000,0.000000,105.625000,282.375000,429.250000,527.000000,572.125000,555.750000,472.875000,341.875000,166.375000,110.916667,55.458333,0.000000,0.000000,0.000000,0.000000,507.087291,768.402742,878.539133,926.958890,943.933529,937.641519,904.103793,826.754302,663.862491,442.574994,221.287497,0.000000,0.000000,100.000000,100.000000,96.000000,0.000000,0.000000,0.000000,2.000000,8.000000,0.000000,0.000000,0.000000,1.333333,2.666667,4.000000,2.666667
